,2-Grip Lat Pulldown,https://youtu.be/QGKhvhMcpPQ,2,2,10-12,,9-10,~2 min,2-Grip Pull-up,https://youtu.be/AUhSQM_c1QQ,Machine Pulldown,https://youtu.be/j8Q50oBDK44,"Do first set wide overhand (1.5x shoulder width), second set underhand (1x shoulder width)"
,Seated DB Shoulder Press,https://youtu.be/ae9IxwoEpQ8?t=507,1,2,10-12,,9-10,~2 min,Machine Shoulder Press,https://www.youtube.com/watch?v=flr4ohSl0j8,Standing DB Arnold Press,https://www.youtube.com/watch?v=zOpA1Op0zvc,"Bring the dumbbells all the way down, keep your torso upright"
,Seated Cable Row,https://youtu.be/FbWfA_s0XL8?t=273,1,2,10-12 (dropset),,9-10,~2 min,Incline Chest-supported DB Row,https://youtu.be/bsx8PIGIuaI,Chest-Supported T-Bar Row,https://www.youtube.com/watch?v=160n9FBX84s,"Focus on squeezing your shoulder blades together, drive your elbows down and back. Last set only do a dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. "
,A1: EZ Bar Skull Crusher,https://youtu.be/popGXI-qs98?t=123,1,2,12-15,,10,0 min,Overhead Cable Triceps Extension,https://youtu.be/qIW3z-ydg-M,DB French Press,https://youtu.be/K4E8CXajqfQ,"Arc the bar behind your head, constant tension on triceps"
,A2: EZ Bar Curl,https://www.youtube.com/watch?v=Dd0t5UOCEUc,1,2,12-15,,10,~1.5 min,DB Curl,https://youtu.be/i1YgFZB6alI?t=487,Cable EZ Curl,https://youtu.be/tw1h5XOD23Y,"Arc the bar ""out"" not ""up"", focus on squeezing your biceps"
Lower,Hack Squat (Heavy),https://youtu.be/wEgQUCdtFLg,2-3,1,4-6,,8-9,~3 min,Machine Squat,https://youtu.be/N56STpGGRYE,Leg Press,https://youtu.be/didU4ZwAkPI?t=241,Focus on strength here. Each week add weight or reps. Keep form consistent.
,Hack Squat (Back off),https://youtu.be/wEgQUCdtFLg,0,1,8-10,,8-9,~3 min,Machine Squat,https://youtu.be/N56STpGGRYE,Leg Press,https://youtu.be/didU4ZwAkPI?t=241,Drop the weight back and focus on controlling the negative. Smooth and consistent rep tempo.
,Seated Hamstring Curl,https://youtu.be/2CMmuH4qJh0,1,1,10-12 (dropset),,10,~1.5 min,Nordic Ham Curl,https://youtu.be/qVek72z3F1U?t=683,Lying Leg Curl,https://www.youtube.com/watch?v=e_48W0vlU58&feature=youtu.be,"Dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. Do seated if available. Otherwise do Lying Leg Curl or Nordic Ham Curl."
,A1: Standing Calf Raise,https://youtu.be/-qsRtp_PbVM?t=162,1,2,10-12,,9-10,0 min,Seated Calf Raise,https://youtu.be/-qsRtp_PbVM?t=311,Leg Press Toe Press,https://youtu.be/VJ_9xii47Sk,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce"
,A2: Hanging Leg Raise,https://youtu.be/2RrGnjxSsiA?t=247,1,2,10-12,,9-10,~1.5 min,Roman Chair Crunch,https://youtu.be/dd1WoEcQB4c,Reverse Crunch,https://youtu.be/CFPB3QT19rE,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
Suggested Rest Day,,,,,,,,,,,,,
Push,Machine Shoulder Press,https://www.youtube.com/watch?v=flr4ohSl0j8,2,3,8-10,,9-10,~2 min,Seated DB Shoulder Press,https://youtu.be/ae9IxwoEpQ8?t=507,Standing DB Arnold Press,https://www.youtube.com/watch?v=zOpA1Op0zvc,"Don't stop in between reps, keep smooth and controlled tension on the delts"
